NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
NAVIO TESTE 2,2023-12-04 04:18:33,204.6,13.1,-5.063346,-30.828978
NAVIO TESTE 2,2023-12-04 04:19:03,204.8,13.0,-5.065073,-30.829751
NAVIO TESTE 2,2023-12-04 04:19:33,204.8,13.0,-5.066675,-30.830481
NAVIO TESTE 2,2023-12-04 04:20:42,203.7,13.1,-5.070551,-30.832245
NAVIO TESTE 2,2023-12-04 04:21:42,204.0,13.1,-5.07388,-30.833748
NAVIO TESTE 2,2023-12-04 04:21:53,204.1,13.1,-5.074433,-30.834
NAVIO TESTE 2,2023-12-04 04:24:53,204.2,13.1,-5.08444,-30.838526
NAVIO TESTE 2,2023-12-04 04:25:53,204.2,13.0,-5.087818,-30.840035
NAVIO TESTE 2,2023-12-04 04:26:53,204.4,13.0,-5.091063,-30.841518
NAVIO TESTE 2,2023-12-04 04:36:04,204.5,12.9,-5.121235,-30.855323
NAVIO TESTE 2,2023-12-04 04:44:55,205.2,13.0,-5.150336,-30.868708
NAVIO TESTE 2,2023-12-04 05:28:33,204.2,13.2,-5.29543,-30.934843
NAVIO TESTE 2,2023-12-04 05:31:24,204.4,13.3,-5.304945,-30.939205
NAVIO TESTE 2,2023-12-04 05:35:44,204.8,13.0,-5.319286,-30.945911
NAVIO TESTE 2,2023-12-04 05:37:02,204.2,13.1,-5.32371,-30.94793
NAVIO TESTE 2,2023-12-04 05:37:54,204.8,13.2,-5.326593,-30.94926
NAVIO TESTE 2,2023-12-04 05:40:32,205.3,13.1,-5.335393,-30.953328
NAVIO TESTE 2,2023-12-04 06:03:02,202.1,13.1,-5.410711,-30.98634
NAVIO TESTE 2,2023-12-04 06:03:12,202.4,13.0,-5.41128,-30.986575
NAVIO TESTE 2,2023-12-04 06:06:52,202.5,13.0,-5.423613,-30.991745
NAVIO TESTE 2,2023-12-04 06:07:12,202.5,13.0,-5.424676,-30.99219
NAVIO TESTE 2,2023-12-04 06:07:52,202.4,13.1,-5.426968,-30.993146
NAVIO TESTE 2,2023-12-04 06:08:52,202.4,13.1,-5.430271,-30.994511
NAVIO TESTE 2,2023-12-04 06:09:02,201.7,13.0,-5.430833,-30.99474
NAVIO TESTE 2,2023-12-04 06:09:33,202.6,13.1,-5.432625,-30.995508
NAVIO TESTE 2,2023-12-04 06:10:54,202.5,13.0,-5.437048,-30.99733
NAVIO TESTE 2,2023-12-04 06:21:03,202.6,13.0,-5.471061,-31.011425
NAVIO TESTE 2,2023-12-04 06:31:34,204.5,13.1,-5.506278,-31.026146
